ts_event,symbol,best_level_ofi,ofi_L0,ofi_L1,ofi_L2,ofi_L3,ofi_L4,ofi_L5,ofi_L6,ofi_L7,ofi_L8,ofi_L9,ofi_norm_L0,ofi_norm_L1,ofi_norm_L2,ofi_norm_L3,ofi_norm_L4,ofi_norm_L5,ofi_norm_L6,ofi_norm_L7,ofi_norm_L8,ofi_norm_L9,integrated_ofi,cross_asset_ofi
2024-10-21T11:57:15.098765695Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.974184121,0,0,0,0,0,0,0,-0.1022289,0
2024-10-21T11:57:15.098777532Z,AAPL,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.887705282,0,0,0,0,0,0,0.169303064,0
2024-10-21T11:57:15.158138746Z,AAPL,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.974184121,0,0,0,0,0,0,0.185796299,0
2024-10-21T11:57:15.158151037Z,AAPL,0,0,0,0,400,0,0,0,0,0,0,0,0,0,1.775410564,0,0,0,0,0,0,-0.338606127,0
2024-10-21T11:57:15.238560230Z,AAPL,0,0,0,0,-225,-30,-200,-44,-154,-400,-1,0,0,0,-0.999111901,-0.13321492,-0.888099467,-0.195381883,-0.68383659,-1.776198934,-0.004440497,0.540489631,0
2024-10-21T11:57:15.426680348Z,AAPL,0,0,0,-200,25,30,200,44,154,400,1,0,0,-0.887705282,0.11096316,0.133155792,0.887705282,0.195295162,0.683533067,1.775410564,0.004438526,-0.277792683,0
2024-10-21T11:57:15.993250474Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:17.249143876Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.974184121,0,0,0,0,0,0,0,-0.1022289,0
2024-10-21T11:57:17.249155657Z,AAPL,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.887705282,0,0,0,0,0,0,0.169303064,0
2024-10-21T11:57:17.304858834Z,AAPL,0,0,0,-200,200,0,0,0,0,0,0,0,0,-0.887705282,0.887705282,0,0,0,0,0,0,-0.076149077,0
2024-10-21T11:57:17.495155713Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:20.112111433Z,AAPL,-201,-201,-8,-350,-25,-30,-200,-44,-154,-400,-1,-0.884683099,-0.035211268,-1.540492958,-0.110035211,-0.132042254,-0.88028169,-0.193661972,-0.677816901,-1.76056338,-0.004401408,0.549358338,0
